phase,kp,ki,kd,setpoint,mean,std,error,pct_ok,conv_s
F1_kp0.02,0.02,0.0,0.0,0.82,0.9307,0.1002,0.1107,36.5,1.52
F1_kp0.02,0.02,0.0,0.0,1.1,1.3066,0.1121,0.2066,18.9,1.5
F1_kp0.02,0.02,0.0,0.0,1.38,1.7187,0.1501,0.3387,5.3,1.5
F1_kp0.04,0.04,0.0,0.0,0.82,0.9777,0.083,0.1577,23.3,1.52
F1_kp0.04,0.04,0.0,0.0,1.1,1.364,0.1289,0.264,12.2,1.52
F1_kp0.04,0.04,0.0,0.0,1.38,1.7045,0.134,0.3245,4.1,1.52
F1_kp0.06,0.06,0.0,0.0,0.82,0.9865,0.1032,0.1665,25.7,1.52
F1_kp0.06,0.06,0.0,0.0,1.1,1.4215,0.1163,0.3215,0.0,
F1_kp0.06,0.06,0.0,0.0,1.38,1.7381,0.1237,0.3581,0.0,
F1_kp0.08,0.08,0.0,0.0,0.82,1.0041,0.1012,0.1841,21.6,1.52
F1_kp0.08,0.08,0.0,0.0,1.1,1.3707,0.0996,0.2707,0.0,
F1_kp0.08,0.08,0.0,0.0,1.38,1.7412,0.1437,0.3612,0.0,
F1_kp0.1,0.1,0.0,0.0,0.82,0.9915,0.0796,0.1715,16.2,1.52
F1_kp0.1,0.1,0.0,0.0,1.1,1.3454,0.1056,0.2454,9.3,1.5
F1_kp0.1,0.1,0.0,0.0,1.38,1.745,0.1384,0.365,0.0,
F1_kp0.15,0.15,0.0,0.0,0.82,0.9614,0.0825,0.1414,27.0,1.52
F1_kp0.15,0.15,0.0,0.0,1.1,1.3208,0.0982,0.2208,10.8,1.5
F1_kp0.15,0.15,0.0,0.0,1.38,1.7349,0.14,0.3549,0.0,
F2_ki0.05,0.02,0.05,0.0,0.82,0.9671,0.0789,0.1471,23.0,1.5
F2_ki0.05,0.02,0.05,0.0,1.1,1.3382,0.1045,0.2382,8.1,1.5
F2_ki0.05,0.02,0.05,0.0,1.38,1.7425,0.1357,0.3625,0.0,
F2_ki0.1,0.02,0.1,0.0,0.82,0.9743,0.0811,0.1543,20.3,1.5
F2_ki0.1,0.02,0.1,0.0,1.1,1.3243,0.111,0.2243,13.5,1.5
F2_ki0.1,0.02,0.1,0.0,1.38,1.7698,0.122,0.3898,0.0,
F2_ki0.15,0.02,0.15,0.0,0.82,0.9743,0.0787,0.1543,21.6,1.5
F2_ki0.15,0.02,0.15,0.0,1.1,1.3351,0.1039,0.2351,8.1,1.5
F2_ki0.15,0.02,0.15,0.0,1.38,1.7496,0.133,0.3696,0.0,
F2_ki0.2,0.02,0.2,0.0,0.82,0.9585,0.083,0.1385,27.0,1.51
F2_ki0.2,0.02,0.2,0.0,1.1,1.3515,0.0953,0.2515,2.7,1.51
F2_ki0.2,0.02,0.2,0.0,1.38,1.7206,0.1388,0.3406,2.7,1.55
F2_ki0.25,0.02,0.25,0.0,0.82,0.9481,0.0806,0.1281,31.5,1.51
F2_ki0.25,0.02,0.25,0.0,1.1,1.3082,0.1054,0.2082,16.2,1.51
F2_ki0.25,0.02,0.25,0.0,1.38,1.7688,0.1222,0.3888,0.0,
F2_ki0.3,0.02,0.3,0.0,0.82,0.9686,0.0729,0.1486,21.9,1.51
F2_ki0.3,0.02,0.3,0.0,1.1,1.3127,0.1111,0.2127,15.1,1.51
F2_ki0.3,0.02,0.3,0.0,1.38,1.7637,0.1182,0.3837,0.0,
F3_kd0.0,0.02,0.25,0.0,0.82,0.955,0.0804,0.135,27.4,1.52
F3_kd0.0,0.02,0.25,0.0,1.1,1.3404,0.1013,0.2404,9.6,1.51
F3_kd0.0,0.02,0.25,0.0,1.38,1.7523,0.1292,0.3723,0.0,
F3_kd0.01,0.02,0.25,0.01,0.82,0.9367,0.0768,0.1167,32.9,1.5
F3_kd0.01,0.02,0.25,0.01,1.1,1.3167,0.099,0.2167,12.3,1.51
F3_kd0.01,0.02,0.25,0.01,1.38,1.6864,0.1003,0.3064,0.0,
F3_kd0.02,0.02,0.25,0.02,0.82,0.9156,0.0781,0.0956,41.1,1.5
F3_kd0.02,0.02,0.25,0.02,1.1,1.3329,0.0956,0.2329,8.3,1.51
F3_kd0.02,0.02,0.25,0.02,1.38,1.7245,0.139,0.3445,2.8,1.52
F3_kd0.05,0.02,0.25,0.05,0.82,0.9375,0.0831,0.1175,36.1,1.52
F3_kd0.05,0.02,0.25,0.05,1.1,1.3885,0.0842,0.2885,0.0,
F3_kd0.05,0.02,0.25,0.05,1.38,1.7425,0.122,0.3625,0.0,
