kp,ki,kd,max_integral,setpoint,mean,std,mean_error,max,min,overshoot,conv_time_s,pct_within_8cm,n_samples
0.04,0.08,0.01,0.05,0.3,1.4051,0.459,-1.1051,1.8549,0.3669,1.5549,no convergió,1.0,201
0.04,0.08,0.01,0.05,0.5,1.4514,0.3914,-0.9514,1.8355,0.6684,1.3355,no convergió,0.0,200
0.04,0.08,0.01,0.05,1.0,1.3266,0.3195,-0.3266,1.8173,0.8701,0.8173,4.01,28.0,200
0.04,0.08,0.01,0.05,1.5,1.5628,0.181,-0.0628,1.8514,1.265,0.3514,4.1,10.5,200
0.04,0.08,0.01,0.05,2.0,1.758,0.0139,0.242,1.7854,1.7323,0.0,no convergió,0.0,200
0.04,0.12,0.01,0.08,0.3,1.3143,0.3395,-1.0143,1.8001,0.4703,1.5001,no convergió,0.0,200
0.04,0.12,0.01,0.08,0.5,1.5266,0.2941,-1.0266,1.9432,0.9329,1.4432,no convergió,0.0,200
0.04,0.12,0.01,0.08,1.0,1.501,0.2338,-0.501,1.8846,0.9308,0.8846,4.44,7.5,200
0.04,0.12,0.01,0.08,1.5,1.74,0.1791,-0.24,1.9907,1.3594,0.4907,4.24,12.5,200
0.04,0.12,0.01,0.08,2.0,1.9437,0.0342,0.0563,2.032,1.8783,0.032,4.01,70.0,200
0.06,0.1,0.01,0.08,0.3,1.5322,0.3515,-1.2322,1.9234,0.5125,1.6234,no convergió,0.0,200
0.06,0.1,0.01,0.08,0.5,1.6278,0.2896,-1.1278,1.9774,0.8033,1.4774,no convergió,0.0,200
0.06,0.1,0.01,0.08,1.0,1.5885,0.2111,-0.5885,1.9176,1.0186,0.9176,5.1,2.5,201
0.06,0.1,0.01,0.08,1.5,1.7974,0.1491,-0.2974,2.0104,1.3315,0.5104,6.6,6.5,200
0.06,0.1,0.01,0.08,2.0,1.9387,0.0386,0.0613,2.0308,1.8555,0.0308,4.02,67.0,200
0.04,0.08,0.02,0.05,0.3,1.1606,0.3822,-0.8606,1.9221,0.3403,1.6221,no convergió,1.0,200
0.04,0.08,0.02,0.05,0.5,1.2962,0.2546,-0.7962,1.8217,0.8627,1.3217,no convergió,0.0,200
0.04,0.08,0.02,0.05,1.0,1.6231,0.2401,-0.6231,2.0099,1.1733,1.0099,no convergió,0.0,201
0.04,0.08,0.02,0.05,1.5,1.604,0.1006,-0.104,1.8687,1.4013,0.3687,4.16,42.8,201
0.04,0.08,0.02,0.05,2.0,1.8852,0.0328,0.1148,1.9843,1.8082,0.0,4.0,11.9,201
0.05,0.15,0.01,0.1,0.3,0.9922,0.4138,-0.6922,1.6422,0.1327,1.3422,4.98,7.0,201
0.05,0.15,0.01,0.1,0.5,1.3245,0.2518,-0.8245,1.8415,0.842,1.3415,no convergió,0.0,201
0.05,0.15,0.01,0.1,1.0,1.3853,0.3261,-0.3853,1.9638,0.8528,0.9638,5.35,14.9,201
0.05,0.15,0.01,0.1,1.5,1.6335,0.1212,-0.1335,1.8415,1.3515,0.3415,4.02,29.5,200
0.05,0.15,0.01,0.1,2.0,1.9658,0.0365,0.0342,2.0404,1.8763,0.0404,4.01,87.6,201
