time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.101,0.0,0.0,-1.6439,0.0,0.0,2.6899,0.0,0.0
0.2,0.0,0.0,-1.6439,-0.0029,0.0014,2.6899,-0.003,0.0032
0.3,0.0,0.0,-1.6439,-0.0076,0.0037,2.6899,-0.0078,0.0084
0.4,0.0,0.0,-1.6439,-0.0144,0.007,2.6857,-0.0148,0.016
0.5,0.0,0.0,-1.6439,-0.0228,0.0112,2.678,-0.0236,0.0254
0.601,0.0,0.0,-1.6439,-0.0328,0.0163,2.6693,-0.0339,0.0367
0.701,0.0,0.0,-1.6439,-0.0445,0.0223,2.6583,-0.046,0.0497
0.8,0.0,0.0,-1.6439,-0.0588,0.03,2.6452,-0.0609,0.066
0.9,0.0,0.0,-1.6439,-0.0746,0.0387,2.6311,-0.0772,0.084
1.0,0.0,0.0,-1.6439,-0.0899,0.0475,2.6147,-0.0932,0.1017
1.101,0.0,0.0,-1.6439,-0.1069,0.0576,2.5984,-0.1108,0.1214
1.201,0.0,0.0,-1.6439,-0.125,0.0688,2.581,-0.1297,0.1427
1.3,-0.2911,0.0961,-1.6198,-0.1451,0.0817,2.5613,0.1466,0.1467
1.4,-0.2911,0.0961,-1.6198,-0.1665,0.0961,2.5449,0.1245,0.1246
1.501,-0.2897,0.1235,-1.6221,-0.1846,0.109,2.5187,0.1057,0.1061
1.6,-0.2897,0.1235,-1.6221,-0.2066,0.1252,2.4969,0.0829,0.0831
1.701,-0.2883,0.1509,-1.6232,-0.2269,0.141,2.473,0.0618,0.0622
1.801,-0.2883,0.1509,-1.6232,-0.2476,0.1578,2.4501,0.0403,0.0413
1.9,-0.2867,0.1819,-1.6253,-0.2689,0.1759,2.426,0.0181,0.0188
2.001,-0.2852,0.2081,-1.6275,-0.2908,0.1955,2.4009,-0.0048,0.0137
2.1,-0.2852,0.2081,-1.6275,-0.3121,0.2156,2.3757,-0.0272,0.0279
2.202,-0.2836,0.2364,-1.6275,-0.3336,0.2371,2.3508,-0.05,0.05
2.301,-0.282,0.2647,-1.6286,-0.3534,0.2577,2.3246,-0.0708,0.0717
2.4,-0.282,0.2647,-1.6286,-0.3747,0.2812,2.2984,-0.0935,0.0941
2.5,-0.2787,0.3211,-1.6308,-0.3932,0.3027,2.2733,-0.1132,0.1159
2.601,-0.2787,0.3211,-1.6308,-0.4119,0.3255,2.2482,-0.1332,0.1332
2.7,-0.2773,0.3452,-1.6319,-0.4314,0.3505,2.2232,-0.1541,0.1542
