time_s,ref_x,ref_y,real_x,real_y,cte_m
0.104,0.0,0.0,0.0,0.0,0.0
0.204,0.0,0.0,0.0,0.0,0.0
0.304,0.0,0.0,0.0,0.0,0.0
0.404,0.0,0.0,0.0,0.0,0.0
0.504,0.0,0.0,0.0,0.0,0.0
0.604,0.0,0.0,0.0,0.0,0.0
0.704,0.0,0.0,0.0,0.0,0.0
0.804,0.0,0.0,0.0,0.0,0.0
0.904,0.0,0.0,0.0,0.0,0.0
1.004,0.0,0.0,0.0,0.0,0.0
1.104,0.0,0.0,0.0,0.0,0.0
1.204,0.0,0.0,0.0,0.0,0.0
1.304,0.0,0.0,0.0,0.0,0.0
1.404,0.0,0.0,0.0,0.0,0.0
1.504,0.0,0.0,0.0,0.0,0.0
1.604,0.0,0.0,0.0,0.0,0.0
1.704,0.0,0.0,0.0,0.0,0.0
1.804,0.0,0.0,0.0,0.0,0.0
1.904,0.0,0.0,0.0,0.0,0.0
2.004,0.0,0.0,0.0,0.0,0.0
2.104,0.0,0.0,0.0,0.0,0.0
2.204,0.0,0.0,0.0,0.0,0.0
2.304,0.0,0.0,0.0,0.0,0.0
2.404,0.0,0.0,0.0,0.0,0.0
2.504,0.0,0.0,0.0,0.0,0.0
2.604,0.0,0.0,0.0,0.0,0.0
2.704,0.0,0.0,0.0,0.0,0.0
2.804,0.0,0.0,0.0,0.0,0.0
2.904,0.0,0.0,0.0,0.0,0.0
3.004,0.0,0.0,0.0,0.0,0.0
3.104,0.0,0.0,0.0,0.0,0.0
3.204,0.0,0.0,0.0,0.0,0.0
3.304,0.0,0.0,0.0,0.0,0.0
3.404,0.0,0.0,0.0,0.0,0.0
3.504,0.0,0.0,0.0,0.0,0.0
3.604,0.0,0.0,0.0,0.0,0.0
3.704,0.0,0.0,0.0,0.0,0.0
3.804,0.0,0.0,0.0,0.0,0.0
3.904,0.0,0.0,0.0,0.0,0.0
4.004,0.0,0.0,0.0,0.0,0.0
4.104,0.0,0.0,0.0,0.0,0.0
4.204,0.0,0.0,0.0,0.0,0.0
4.304,0.0,0.0,0.0,0.0,0.0
4.404,0.0,0.0,0.0,0.0,0.0
4.504,0.0,0.0,0.0,0.0,0.0
4.604,0.0,0.0,0.0,0.0,0.0
4.704,0.0,0.0,0.0,0.0,0.0
4.804,0.0,0.0,0.0,0.0,0.0
4.904,0.0,0.0,0.0,0.0,0.0
5.004,0.0,0.0,0.0,0.0,0.0
5.104,0.0,0.0,0.0,0.0,0.0
