time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.1,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.301,0.0,0.0,-0.0033,0.0045,0.0,0.001,0.0,0.0045
0.4,0.0,0.0,-0.0033,0.0105,0.0,0.001,0.0,0.0105
0.5,0.0,0.0,-0.0033,0.0184,0.0,0.001,0.0001,0.0184
0.6,0.0522,-0.0002,-0.0033,0.0287,0.0,0.001,0.0001,0.0236
0.7,0.0522,-0.0002,-0.0033,0.042,0.0,0.001,0.0002,0.0102
0.8,0.0522,-0.0002,-0.0033,0.0592,0.0001,0.0033,0.0003,0.0069
0.9,0.0522,-0.0002,-0.0033,0.0779,0.0002,0.0044,0.0004,0.0257
1.0,0.1145,-0.0003,-0.0021,0.0996,0.0003,0.0065,0.0006,0.015
1.101,0.1145,-0.0003,-0.0021,0.1225,0.0005,0.0087,0.0008,0.008
1.201,0.1683,-0.0004,-0.0,0.1481,0.0007,0.011,0.0011,0.0202
1.301,0.1683,-0.0004,-0.0,0.1748,0.001,0.012,0.0014,0.0066
1.4,0.2289,-0.0003,0.0033,0.2041,0.0014,0.0141,0.0018,0.0248
1.5,0.2289,-0.0003,0.0033,0.2347,0.0019,0.0164,0.0022,0.0062
1.601,0.2847,-0.0,0.0044,0.2673,0.0025,0.0175,0.0026,0.0176
1.701,0.2847,-0.0,0.0044,0.3015,0.0031,0.0197,0.0031,0.0171
1.801,0.3372,0.0003,0.0066,0.3365,0.0039,0.0229,0.0036,0.0037
1.9,0.3947,0.0007,0.0077,0.3736,0.0048,0.0272,0.0043,0.0215
2.001,0.3947,0.0007,0.0077,0.4118,0.0059,0.0305,0.0051,0.0179
2.101,0.4543,0.0012,0.0087,0.4515,0.0072,0.0326,0.006,0.0066
2.2,0.5106,0.0016,0.0077,0.4919,0.0086,0.036,0.0071,0.02
2.301,0.5106,0.0016,0.0077,0.5292,0.01,0.0393,0.0082,0.0203
2.4,0.5648,0.002,0.0066,0.5774,0.012,0.0436,0.0099,0.016
2.5,0.6171,0.0024,0.0077,0.6216,0.014,0.0469,0.0116,0.0125
2.601,0.6692,0.0028,0.0087,0.6658,0.0162,0.0513,0.0134,0.0138
2.7,0.72,0.0033,0.0087,0.712,0.0187,0.0578,0.0156,0.0174
2.8,0.7703,0.0037,0.0087,0.7585,0.0216,0.0644,0.018,0.0215
2.9,0.8232,0.0042,0.0099,0.8055,0.0248,0.0709,0.0208,0.0272
3.0,0.8732,0.0047,0.011,0.8566,0.0287,0.0775,0.0241,0.0291
3.1,0.9262,0.0053,0.012,0.9005,0.0322,0.0829,0.0272,0.0372
3.2,0.9262,0.0053,0.012,0.9497,0.0366,0.0937,0.031,0.0391
3.3,0.9771,0.0059,0.0131,0.9982,0.0414,0.1047,0.0351,0.0412
3.4,1.028,0.0066,0.0131,1.0468,0.0468,0.1157,0.04,0.0444
3.5,1.0823,0.0073,0.0154,1.0951,0.0528,0.1265,0.0452,0.0472
3.6,1.1379,0.0082,0.0154,1.1424,0.0592,0.1429,0.0509,0.0512
3.7,1.1919,0.009,0.0154,1.1889,0.0664,0.1581,0.0574,0.0574
3.801,1.2497,0.01,0.0164,1.2332,0.0739,0.1756,0.0643,0.0661
3.9,1.3036,0.0109,0.0175,1.2787,0.0825,0.1953,0.0721,0.0759
4.0,1.3036,0.0109,0.0175,1.3171,0.0907,0.2159,0.0796,0.0809
4.1,1.3554,0.0118,0.0187,1.3564,0.0998,0.2379,0.088,0.0881
4.2,1.4059,0.0127,0.0197,1.3948,0.1097,0.2618,0.0972,0.0976
4.3,1.4059,0.0127,0.0197,1.4312,0.1201,0.2869,0.1068,0.1103
4.4,1.4628,0.0139,0.0208,1.4654,0.1307,0.3119,0.1168,0.1169
4.5,1.5133,0.015,0.0229,1.499,0.1423,0.3403,0.1276,0.1281
4.6,1.5133,0.015,0.0229,1.529,0.1535,0.3698,0.1382,0.1394
4.7,1.5701,0.0164,0.0251,1.5577,0.1653,0.4004,0.1492,0.1495
4.8,1.5701,0.0164,0.0251,1.5855,0.1776,0.4309,0.1608,0.1619
4.901,1.6202,0.0177,0.0262,1.6112,0.19,0.4592,0.1725,0.1725
5.0,1.6202,0.0177,0.0262,1.6351,0.2023,0.4864,0.1842,0.1852
5.1,1.6711,0.019,0.0284,1.6564,0.2139,0.5116,0.1952,0.1954
5.2,1.6711,0.019,0.0284,1.6771,0.226,0.5356,0.2067,0.2071
5.301,1.7277,0.0208,0.0316,1.6948,0.2368,0.5575,0.217,0.2185
5.401,1.7277,0.0208,0.0316,1.712,0.2478,0.5782,0.2275,0.2276
5.5,1.7277,0.0208,0.0316,1.729,0.2592,0.5988,0.2382,0.2384
5.601,1.7277,0.0208,0.0316,1.7441,0.2698,0.6173,0.2484,0.2495
5.7,1.7868,0.0226,0.0316,1.7584,0.2802,0.6348,0.2583,0.2591
5.8,1.7868,0.0226,0.0316,1.7704,0.2892,0.6512,0.2669,0.267
5.901,1.7868,0.0226,0.0316,1.7812,0.2976,0.6665,0.275,0.275
6.001,1.7868,0.0226,0.0316,1.7924,0.3065,0.6807,0.2836,0.2839
