time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.1,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.3,0.0033,-0.0,-0.0033,0.0034,0.0,0.0,0.0,0.0
0.401,0.0087,-0.0,-0.0033,0.007,0.0,0.0,0.0,0.0016
0.501,0.0111,-0.0,-0.0033,0.0104,0.0,0.0,0.0,0.0008
0.601,0.0165,-0.0001,-0.0033,0.0191,0.0,0.0,0.0001,0.0026
0.7,0.0279,-0.0001,-0.0033,0.0278,0.0,0.0,0.0001,0.0001
0.8,0.0413,-0.0001,-0.0033,0.0394,0.0,-0.0,0.0001,0.0019
0.901,0.0522,-0.0002,-0.0033,0.0527,0.0,0.001,0.0002,0.0005
1.001,0.0642,-0.0002,-0.0033,0.0691,0.0,0.0021,0.0003,0.0049
1.1,0.0777,-0.0003,-0.0033,0.0797,0.0001,0.0021,0.0003,0.002
1.2,0.1145,-0.0003,-0.0021,0.1087,0.0001,0.0031,0.0005,0.0059
1.301,0.1293,-0.0004,-0.0021,0.132,0.0002,0.0054,0.0006,0.0027
1.4,0.1527,-0.0004,-0.0,0.1563,0.0004,0.0065,0.0008,0.0037
1.5,0.1758,-0.0004,-0.0,0.1824,0.0006,0.0087,0.001,0.0068
1.601,0.2137,-0.0003,0.0023,0.2104,0.0009,0.0108,0.0012,0.0035
1.7,0.2364,-0.0002,0.0033,0.2394,0.0013,0.0129,0.0015,0.0033
1.8,0.2723,-0.0001,0.0044,0.2691,0.0017,0.0141,0.0018,0.0037
1.901,0.2982,0.0,0.0054,0.301,0.0022,0.0162,0.0021,0.0036
2.0,0.3372,0.0003,0.0066,0.3346,0.0027,0.0185,0.0025,0.0036
2.1,0.3629,0.0005,0.0066,0.3627,0.0033,0.0206,0.0029,0.0029
2.2,0.4065,0.0008,0.0077,0.4056,0.0043,0.025,0.0035,0.0036
2.3,0.443,0.0011,0.0087,0.443,0.0053,0.0283,0.0043,0.0043
2.4,0.4839,0.0014,0.0087,0.482,0.0065,0.0316,0.0051,0.0054
2.501,0.5215,0.0017,0.0066,0.5218,0.0079,0.036,0.0061,0.0062
2.6,0.5648,0.002,0.0066,0.5626,0.0094,0.038,0.0074,0.0077
2.7,0.607,0.0023,0.0066,0.6058,0.0111,0.0414,0.0089,0.0089
2.801,0.649,0.0026,0.0087,0.647,0.013,0.0457,0.0103,0.0105
2.9,0.6918,0.003,0.0087,0.6896,0.015,0.0501,0.012,0.0122
3.0,0.7293,0.0033,0.0087,0.7331,0.0173,0.0524,0.0139,0.0144
3.1,0.7751,0.0037,0.0087,0.7783,0.0197,0.0534,0.0159,0.0163
3.2,0.8232,0.0042,0.0099,0.8221,0.0221,0.0545,0.0179,0.0179
3.3,0.8675,0.0047,0.011,0.8678,0.0246,0.0565,0.02,0.02
3.4,0.9166,0.0052,0.011,0.9146,0.0273,0.0565,0.0221,0.0222
3.5,0.952,0.0056,0.012,0.9528,0.0294,0.0565,0.0238,0.0238
3.6,1.0076,0.0063,0.0131,1.0087,0.0327,0.0578,0.0263,0.0264
3.7,1.058,0.007,0.0141,1.0584,0.0356,0.0588,0.0286,0.0286
3.8,1.1061,0.0077,0.0154,1.1077,0.0385,0.0599,0.0308,0.0308
3.9,1.1607,0.0086,0.0154,1.1573,0.0416,0.0611,0.0331,0.0332
4.0,1.209,0.0093,0.0154,1.2087,0.0447,0.0621,0.0354,0.0354
4.1,1.2497,0.01,0.0164,1.2508,0.0474,0.0642,0.0374,0.0375
4.2,1.314,0.011,0.0175,1.3126,0.0514,0.0665,0.0404,0.0404
4.301,1.3672,0.012,0.0187,1.3657,0.055,0.0675,0.043,0.043
4.4,1.4192,0.013,0.0197,1.4189,0.0586,0.0686,0.0456,0.0456
4.501,1.4693,0.014,0.0208,1.472,0.0623,0.0709,0.0483,0.0484
4.601,1.5275,0.0153,0.0229,1.5259,0.0662,0.0719,0.0509,0.0509
4.7,1.5838,0.0167,0.0251,1.5794,0.0702,0.074,0.0535,0.0536
4.8,1.6384,0.0181,0.0262,1.6375,0.0745,0.0752,0.0564,0.0564
4.9,1.697,0.0198,0.0305,1.6895,0.0784,0.0752,0.0588,0.0591
5.0,1.7462,0.0214,0.0316,1.7433,0.0825,0.0763,0.0612,0.0612
5.1,1.8041,0.0232,0.0316,1.7994,0.0868,0.0752,0.0637,0.0638
5.2,1.8559,0.0249,0.0328,1.8537,0.0908,0.0752,0.066,0.066
5.3,1.9134,0.0269,0.0349,1.9098,0.0951,0.0763,0.0683,0.0683
5.4,1.9666,0.0287,0.0361,1.9658,0.0994,0.0763,0.0706,0.0706
5.5,2.0247,0.0308,0.0361,2.0232,0.1038,0.0785,0.073,0.073
5.6,2.0864,0.0331,0.0393,2.0786,0.1082,0.0806,0.0753,0.0755
5.7,2.1406,0.0356,0.0557,2.136,0.1129,0.0817,0.0774,0.0774
5.8,2.2061,0.0414,0.1157,2.1936,0.1177,0.084,0.0773,0.0773
5.9,2.2669,0.0504,0.1735,2.2562,0.123,0.084,0.0733,0.0733
6.0,2.3255,0.0627,0.2335,2.3084,0.1274,0.084,0.0668,0.0669
