time_s,ref_x,ref_y,real_x,real_y,cte_m
0.104,0.0,0.0,0.0,0.0,0.0
0.204,0.0,0.0,0.0,0.0,0.0
0.304,0.0,0.0,0.0,0.0,0.0
0.404,0.0,0.0,0.0,0.0,0.0
0.504,0.0,0.0,0.0,0.0,0.0
0.604,0.0,0.0,0.0,0.0,0.0
0.704,0.0,0.0,0.0,0.0,0.0
0.804,0.0,0.0,0.0,0.0,0.0
0.904,0.0,0.0,0.0,0.0,0.0
1.005,0.0,0.0,0.0,0.0,0.0
1.104,0.0002,-0.0,0.0001,0.0,0.0
1.204,0.0002,-0.0,0.0001,0.0,0.0
1.304,0.0053,-0.0,0.0052,-0.0001,-0.0
1.404,0.0165,-0.0001,0.0183,-0.0002,-0.0002
1.504,0.0321,-0.0001,0.0361,-0.0005,-0.0004
1.604,0.0642,-0.0002,0.0692,-0.0008,-0.0006
1.704,0.099,-0.0003,0.1049,-0.0012,-0.0008
1.804,0.1527,-0.0004,0.1484,-0.0015,-0.0011
1.904,0.1992,-0.0003,0.1958,-0.0017,-0.0013
2.004,0.2505,-0.0002,0.2556,-0.0016,-0.0014
2.104,0.3119,0.0001,0.3096,-0.0013,-0.0014
2.204,0.3754,0.0005,0.3738,-0.0006,-0.0011
2.304,0.443,0.0011,0.4437,0.0005,-0.0006
2.404,0.516,0.0017,0.5148,0.0021,0.0004
2.504,0.5911,0.0022,0.5905,0.0053,0.0031
2.604,0.6692,0.0028,0.6709,0.0097,0.0069
2.704,0.7523,0.0035,0.7535,0.0152,0.0116
2.804,0.8392,0.0044,0.84,0.022,0.0176
2.904,0.9262,0.0053,0.9274,0.03,0.0247
3.004,1.0179,0.0065,1.0175,0.0396,0.0331
3.104,1.1061,0.0077,1.1092,0.0509,0.0432
3.204,1.2046,0.0092,1.2003,0.0639,0.0548
3.304,1.2987,0.0108,1.2964,0.0793,0.0686
3.404,1.3871,0.0124,1.3816,0.0957,0.0834
3.504,1.4693,0.014,1.471,0.1156,0.1016
3.604,1.5631,0.0162,1.5635,0.1402,0.124
3.704,1.6513,0.0185,1.6477,0.1668,0.1484
3.804,1.7392,0.0211,1.7332,0.1989,0.1779
3.904,1.8215,0.0238,1.8159,0.2365,0.2128
4.004,1.9077,0.0267,1.8967,0.2811,0.2546
4.104,1.9835,0.0294,1.9691,0.3311,0.3021
4.204,2.0451,0.0316,2.0325,0.3858,0.3544
