time_s,ref_x,ref_y,real_x,real_y,cte_m
0.105,0.0,0.0,0.0,0.0,0.0
0.205,0.0,0.0,0.0002,-0.0,0.0
0.306,0.0,0.0,0.0121,-0.0,0.0
0.405,0.0522,-0.0002,0.0364,-0.0,0.0001
0.505,0.0522,-0.0002,0.0702,-0.0,0.0002
0.605,0.1145,-0.0003,0.109,-0.0,0.0003
0.705,0.1683,-0.0004,0.1706,0.0001,0.0005
0.805,0.2289,-0.0003,0.2117,0.0002,0.0006
0.905,0.2847,-0.0,0.2724,0.0006,0.0007
1.005,0.3372,0.0003,0.3401,0.0012,0.0009
1.105,0.3947,0.0007,0.411,0.0019,0.0011
1.205,0.5106,0.0016,0.4872,0.0028,0.0014
1.305,0.5648,0.002,0.5681,0.0041,0.002
1.405,0.6692,0.0028,0.6582,0.006,0.0033
1.505,0.72,0.0033,0.744,0.0086,0.0051
1.605,0.8232,0.0042,0.8327,0.0121,0.0078
1.706,0.9262,0.0053,0.9268,0.0168,0.0115
1.805,1.028,0.0066,1.0222,0.0235,0.0169
1.905,1.1379,0.0082,1.1139,0.0323,0.0245
2.005,1.1919,0.009,1.2081,0.0449,0.0356
2.106,1.3036,0.0109,1.3021,0.064,0.0532
2.205,1.4059,0.0127,1.3946,0.0914,0.0789
2.305,1.4628,0.0139,1.4773,0.1269,0.1127
2.405,1.5701,0.0164,1.5515,0.172,0.156
2.505,1.6202,0.0177,1.6241,0.231,0.2132
2.605,1.6711,0.019,1.6864,0.2946,0.275
2.705,1.7277,0.0208,1.7274,0.3532,0.3322
2.805,1.7868,0.0226,1.7651,0.4249,0.4027
2.905,1.7868,0.0226,1.7918,0.4958,0.4728
3.006,1.8441,0.0245,1.8097,0.5708,0.5471
3.105,1.8441,0.0245,1.8191,0.6448,0.6208
3.205,1.8441,0.0245,1.8191,0.7164,0.6923
3.305,1.8441,0.0245,1.811,0.7859,0.7621
3.405,1.8441,0.0245,1.7931,0.8623,0.839
3.505,1.7868,0.0226,1.7721,0.922,0.8994
3.605,1.7868,0.0226,1.7419,0.9876,0.9659
3.705,1.7277,0.0208,1.7096,1.0493,1.0286
3.805,1.7277,0.0208,1.6751,1.1142,1.0945
3.905,1.6711,0.019,1.6415,1.1798,1.1611
4.005,1.6202,0.0177,1.6089,1.2485,1.2308
4.105,1.6202,0.0177,1.5783,1.3178,1.3008
4.205,1.5701,0.0164,1.5493,1.3894,1.3732
4.305,1.5701,0.0164,1.5216,1.4635,1.4479
4.405,1.5133,0.015,1.496,1.5379,1.523
4.505,1.5133,0.015,1.4645,1.6373,1.623
4.605,1.4628,0.0139,1.4485,1.6909,1.677
4.705,1.4952,3.4147,1.4268,1.7688,1.6472
4.805,1.4952,3.4147,1.4058,1.8483,1.5688
4.905,1.4418,3.4173,1.3841,1.9337,1.4846
5.005,1.4418,3.4173,1.365,2.0115,1.4079
5.105,1.3903,3.4198,1.345,2.0948,1.3256
5.205,1.3903,3.4198,1.3252,2.179,1.2425
5.305,1.3403,3.4222,1.3052,2.2666,1.156
5.405,1.3403,3.4222,1.2863,2.352,1.0716
5.505,1.3403,3.4222,1.2678,2.4406,0.9839
5.605,1.288,3.4247,1.2499,2.5315,0.894
5.705,1.288,3.4247,1.2334,2.62,0.8063
5.806,1.2307,3.4274,1.2173,2.7125,0.7147
5.905,1.2307,3.4274,1.2025,2.8007,0.6273
6.005,1.2307,3.4274,1.1874,2.8934,0.5354
6.105,1.1778,3.4298,1.1732,2.9846,0.445
6.205,1.1778,3.4298,1.1597,3.0751,0.3551
