time_s,ref_x,ref_y,real_x,real_y,cte_m
0.105,0.0,0.0,0.0,0.0,0.0
0.204,0.0,0.0,0.0,0.0,0.0
0.304,0.0,0.0,0.0,0.0,0.0
0.404,0.0,0.0,0.0,0.0,0.0
0.505,0.0,0.0,0.0,0.0,0.0
0.605,0.0,0.0,0.0,0.0,0.0
0.705,0.0,0.0,0.0002,0.0,0.0
0.805,0.0,0.0,0.0098,0.0,0.0
0.905,0.0,0.0,0.0098,0.0,0.0
1.004,0.0,0.0,0.0098,0.0,0.0
1.105,0.1145,-0.0003,0.092,0.0001,0.0004
1.205,0.1145,-0.0003,0.092,0.0001,0.0004
1.304,0.1145,-0.0003,0.092,0.0001,0.0004
1.405,0.1145,-0.0003,0.092,0.0001,0.0004
1.504,0.2289,-0.0003,0.2389,0.0005,0.0007
1.604,0.3372,0.0003,0.3467,0.0019,0.0016
1.705,0.3372,0.0003,0.3656,0.0023,0.0018
1.805,0.4543,0.0012,0.4664,0.0043,0.003
1.905,0.5648,0.002,0.5896,0.007,0.0048
2.004,0.5648,0.002,0.5896,0.007,0.0048
2.105,0.5648,0.002,0.5896,0.007,0.0048
2.205,0.5648,0.002,0.5896,0.007,0.0048
2.304,0.9771,0.0059,0.9963,0.0177,0.0115
2.405,1.0823,0.0073,1.0832,0.02,0.0126
2.504,1.1919,0.009,1.1896,0.0229,0.0139
2.604,1.3036,0.0109,1.2769,0.0253,0.0149
2.705,1.3554,0.0118,1.3713,0.0279,0.0158
2.805,1.4628,0.0139,1.4722,0.0305,0.0164
2.905,1.5133,0.015,1.5084,0.0312,0.0163
3.005,1.5133,0.015,1.5084,0.0312,0.0163
3.105,1.7277,0.0208,1.7491,0.0357,0.0142
3.204,1.8441,0.0245,1.8326,0.0367,0.0126
3.305,1.8441,0.0245,1.8326,0.0367,0.0126
3.405,1.8441,0.0245,1.8326,0.0367,0.0126
3.505,2.0079,0.0302,1.9829,0.0384,0.009
3.605,2.0079,0.0302,1.9829,0.0384,0.009
3.704,2.0079,0.0302,1.9829,0.0384,0.009
3.804,2.1124,0.0342,2.1359,0.0404,0.0052
3.905,2.1641,0.0372,2.1635,0.0408,0.0036
4.005,2.1641,0.0372,2.1641,0.0408,0.0036
4.105,2.1641,0.0372,2.1641,0.0408,0.0036
4.205,2.1641,0.0372,2.1641,0.0408,0.0036
4.304,2.1641,0.0372,2.1641,0.0408,0.0036
4.404,2.1641,0.0372,2.1641,0.0408,0.0036
4.505,2.1641,0.0372,2.1641,0.0408,0.0036
4.605,2.1641,0.0372,2.1641,0.0408,0.0036
4.705,2.1641,0.0372,2.1641,0.0408,0.0036
4.805,2.1641,0.0372,2.1641,0.0408,0.0036
4.905,2.1641,0.0372,2.1641,0.0408,0.0036
5.005,2.1641,0.0372,2.1641,0.0408,0.0036
5.105,2.1641,0.0372,2.1641,0.0408,0.0036
5.204,2.1641,0.0372,2.1641,0.0408,0.0036
5.304,2.1641,0.0372,2.1641,0.0408,0.0036
