time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.105,0.0,0.0,-0.0033,-0.0139,-0.0001,-0.0239,-0.0001,0.0139
0.205,0.0,0.0,-0.0033,-0.0134,-0.0001,-0.0239,-0.0001,0.0134
0.305,0.0,0.0,-0.0033,-0.0129,-0.0001,-0.0239,-0.0001,0.0129
0.405,0.0,0.0,-0.0033,-0.0129,-0.0001,-0.0239,-0.0001,0.0129
0.505,0.0,0.0,-0.0033,-0.0129,-0.0001,-0.0239,-0.0001,0.0129
0.605,0.0,0.0,-0.0033,-0.0129,-0.0001,-0.0239,-0.0001,0.0129
0.705,0.0,0.0,-0.0033,-0.0129,-0.0001,-0.0239,-0.0001,0.0129
0.805,0.0,0.0,-0.0033,-0.0129,-0.0001,-0.0239,-0.0001,0.0129
0.905,0.0,0.0,-0.0033,-0.0129,-0.0001,-0.0239,-0.0001,0.0129
1.005,0.0,0.0,-0.0033,-0.0129,-0.0001,-0.0239,-0.0001,0.0129
1.105,0.0,0.0,-0.0033,-0.0129,-0.0001,-0.0239,-0.0001,0.0129
1.205,0.0,0.0,-0.0033,-0.0129,-0.0001,-0.0239,-0.0001,0.0129
1.305,0.0,0.0,-0.0033,-0.0129,-0.0001,-0.0239,-0.0001,0.0129
1.405,0.0,0.0,-0.0033,-0.0129,-0.0001,-0.0239,-0.0001,0.0129
1.505,0.0,0.0,-0.0033,-0.0129,-0.0001,-0.0239,-0.0001,0.0129
1.605,0.0,0.0,-0.0033,-0.0129,-0.0001,-0.0239,-0.0001,0.0129
1.705,0.0,0.0,-0.0033,-0.0129,-0.0001,-0.0239,-0.0001,0.0129
1.805,0.0,0.0,-0.0033,-0.0129,-0.0001,-0.0239,-0.0001,0.0129
1.905,0.0,0.0,-0.0033,-0.0129,-0.0001,-0.0239,-0.0001,0.0129
2.005,0.0,0.0,-0.0033,0.0118,-0.0007,-0.0239,-0.0006,0.0118
2.105,0.0522,-0.0002,-0.0033,0.0326,-0.0012,-0.0229,-0.0011,0.0196
2.205,0.0522,-0.0002,-0.0033,0.0562,-0.0017,-0.0229,-0.0015,0.0043
2.305,0.1145,-0.0003,-0.0021,0.0899,-0.0025,-0.0218,-0.0022,0.0247
2.405,0.1683,-0.0004,-0.0,0.1568,-0.0038,-0.0195,-0.0035,0.012
2.505,0.2289,-0.0003,0.0033,0.2138,-0.0046,-0.0087,-0.0043,0.0158
2.605,0.2289,-0.0003,0.0033,0.2492,-0.0049,-0.0054,-0.0047,0.0208
2.705,0.2289,-0.0003,0.0033,0.2492,-0.0049,-0.0054,-0.0047,0.0208
2.806,0.2289,-0.0003,0.0033,0.2492,-0.0049,-0.0054,-0.0047,0.0208
2.905,0.5648,0.002,0.0066,0.5403,-0.0059,0.0033,-0.0078,0.0258
3.005,0.6171,0.0024,0.0077,0.6289,-0.005,0.0185,-0.0075,0.0139
3.105,0.72,0.0033,0.0087,0.7297,-0.0024,0.0284,-0.0058,0.0113
3.205,0.8232,0.0042,0.0099,0.8021,0.0001,0.0382,-0.0039,0.0214
3.305,0.8732,0.0047,0.011,0.8744,0.0029,0.0405,-0.0018,0.0021
3.405,0.8732,0.0047,0.011,0.8744,0.0029,0.0405,-0.0018,0.0021
3.505,0.8732,0.0047,0.011,0.8744,0.0029,0.0405,-0.0018,0.0021
3.605,0.8732,0.0047,0.011,0.8744,0.0029,0.0405,-0.0018,0.0021
3.705,1.3554,0.0118,0.0187,1.352,0.0243,0.0447,0.0126,0.013
3.805,1.3554,0.0118,0.0187,1.352,0.0243,0.0447,0.0126,0.013
3.905,1.3554,0.0118,0.0187,1.352,0.0243,0.0447,0.0126,0.013
4.005,1.3554,0.0118,0.0187,1.352,0.0243,0.0447,0.0126,0.013
4.105,1.3554,0.0118,0.0187,1.352,0.0243,0.0447,0.0126,0.013
4.205,1.3554,0.0118,0.0187,1.352,0.0243,0.0447,0.0126,0.013
4.305,1.3554,0.0118,0.0187,1.352,0.0243,0.0459,0.0126,0.013
4.405,1.3554,0.0118,0.0187,1.352,0.0243,0.0459,0.0126,0.013
4.505,1.3554,0.0118,0.0187,1.352,0.0243,0.0459,0.0126,0.013
4.605,1.3554,0.0118,0.0187,1.352,0.0243,0.0459,0.0126,0.013
4.705,1.3554,0.0118,0.0187,1.352,0.0243,0.0459,0.0126,0.013
4.805,1.3554,0.0118,0.0187,1.352,0.0243,0.0459,0.0126,0.013
4.905,1.3554,0.0118,0.0187,1.352,0.0243,0.0459,0.0126,0.013
5.005,1.3554,0.0118,0.0187,1.352,0.0243,0.048,0.0126,0.013
5.105,1.3554,0.0118,0.0187,1.352,0.0243,0.048,0.0126,0.013
